id,author,birthDate,deathDate,gender,birthPlace,last,first
148,夏目漱石,1867-02-09,1916-12-09,male,喜久井町,Natsume,Soseki
81,宮沢賢治,1896-08-27,1933-09-21,male,花巻川口町,Miyazawa,Kenji
35,太宰治,1909-06-19,1948-06-13,male,金木町,Dazai,Osamu
119,中島敦,1909-05-05,1942-12-04,male,四谷区,Nakajima,Atsushi
96,夢野久作,1889-01-04,1936-03-11,male,福岡市,Yumeno,Kyusaku
879,芥川竜之介,1892-03-01,1927-07-24,male,Tokyo,Akutagawa,Ryunosuke
196,鴨長明,1153-00-00,1216-00-00,male,平安京,Kamo,Chomei
74,梶井基次郎,1901-02-17,1932-03-24,male,大阪市,Kajii,Motojiro
296,福沢諭吉,1835-01-10,1901-02-03,male,Dōjima,Fukuzawa,Yukichi
156,小林多喜二,1903-10-13,1933-02-20,male,大館市,Kobayashi,Takiji
31,葉山嘉樹,1894-03-12,1945-10-18,male,豊津町,Hayama,Yoshiki
129,森鴎外,1862-02-17,1922-07-09,male,Tsuwano,Mori,Ogai
121,新美南吉,1913-07-30,1943-03-22,male,半田市,Niimi,Nankichi
1162,秋田滋,1908-07-05,1943-10-15,,,Akita,Shigeru
1168,高村光太郎,1883-03-13,1956-04-02,male,下谷区,Takamura,Kotaro
153,石川啄木,1886-02-20,1912-04-13,male,盛岡市,Ishikawa,Takuboku
155,紀貫之,870-00-00,1902-08-02,male,平安京,Kino,Tsurayuki
1095,坂口安吾,1906-10-20,1955-02-17,male,新潟市,Sakaguchi,Ango
231,伊丹万作,1900-01-02,1946-09-21,male,松山市,Itami,Mansaku
67,萩原朔太郎,1886-11-01,1942-05-11,male,北曲輪町,Hagiwara,Sakutaro
1030,堀辰雄,1904-12-28,1953-05-28,male,平河町,Hori,Tatsuo
26,中原中也,1907-04-29,1937-10-22,male,下宇野令村,Nakahara,Chuya
914,ディケンズチャールズ,1812-02-07,1870-06-09,male,Landport,Dickens,Charles
1128,文部省,,,unknown,,Monbusho,
1566,柳田国男,1875-07-31,1962-08-08,male,Fukusaki,Yanagita,Kunio
1235,カフカフランツ,1883-07-03,1924-06-03,male,Prague,Kafka,Franz
183,牧野信一,1896-11-12,1936-03-24,male,小田原町,Makino,Shin'ichi
64,樋口一葉,1872-05-02,1896-11-23,female,東京,Higuchi,Ichiyo
1092,グリムヴィルヘルム・カール,1786-02-24,1859-12-16,male,Hanau,Grimm,Wilhelm Carl
1091,グリムヤーコプ・ルートヴィッヒ・カール,1785-01-04,1863-09-20,male,Hanau,Grimm,Jacob Ludwig Carl
1124,魯迅,1881-09-25,1936-10-19,male,Shaoxing,Lu Xun,
125,小栗虫太郎,1901-03-14,1946-02-10,male,東京都,Oguri,Mushitaro
19,アンデルセンハンス・クリスチャン,1805-04-02,1875-08-04,male,Odense,Andersen,Hans Christian
94,ポーエドガー・アラン,1809-01-19,1849-10-07,male,Boston,Poe,Edgar Allan
912,スウィフトジョナサン,1667-11-30,1745-10-19,male,Dublin,Swift,Jonathan
158,島崎藤村,1872-03-25,1943-08-22,male,馬籠宿,Shimazaki,Toson
214,田山花袋,1872-01-22,1930-05-13,male,館林市,Tayama,Katai
9,ドイルアーサー・コナン,1859-05-22,1930-07-07,male,Edinburgh,Doyle,Arthur Conan
1779,江戸川乱歩,1894-10-21,1965-07-28,male,名張市,Edogawa,Ranpo
888,スティーブンソンロバート・ルイス,1850-11-13,1894-12-03,male,Edinburgh,Stevenson,Robert Louis
58,伊藤左千夫,1864-09-18,1913-07-30,male,上総国,Ito,Sachio
329,楠山正雄,1884-11-04,1950-11-26,male,東京都,Kusuyama,Masao
91,尾崎紅葉,1868-01-10,1903-10-30,male,芝,Ozaki,Koyo
363,ドストエフスキーフィヨードル・ミハイロヴィチ,1821-11-11,1881-02-09,male,Mariinsky Hospital for the Poor,Dostoevskii,Fedor Mikhailovich
25,有島武郎,1878-03-04,1923-06-09,male,東京,Arishima,Takeo
908,坂本竜馬,1836-01-03,1867-12-10,male,Tosa Province,Sakamoto,Ryoma
