,book_id,title,category,char_type,aozora_url,author_id,author_role,publisher,date_published,book_url,char_count,book_type,year_pub
0,773,こころ,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000148/card773.html,148,著者,集英社文庫、集英社,1991（平成3）年2月25日,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,184158.0,novel,1991.0
1,45630,〔雨ニモマケズ〕,NDC 911 916,新字旧仮名,https://www.aozora.gr.jp/cards/000081/card45630.html,81,著者,筑摩書房,1997（平成9）年7月30日,https://www.aozora.gr.jp/cards/000081/files/45630_23908.html,395.0,flash,1997.0
2,1567,走れメロス,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000035/card1567.html,35,著者,ちくま文庫、筑摩書房,1988（昭和63）年10月25日,https://www.aozora.gr.jp/cards/000035/files/1567_14913.html,10344.0,short,1988.0
3,789,吾輩は猫である,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000148/card789.html,148,著者,ちくま文庫、筑摩書房,1987（昭和62）年9月29日,https://www.aozora.gr.jp/cards/000148/files/789_14547.html,368124.0,novel,1987.0
4,624,山月記,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000119/card624.html,119,著者,新潮文庫、新潮社,1969（昭和44）年9月20日、1989（平成元）年6月10日第43刷改版,https://www.aozora.gr.jp/cards/000119/files/624_14544.html,6986.0,short,1969.0
5,301,人間失格,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000035/card301.html,35,著者,新潮文庫、新潮社,1952（昭和27）年10月30日、1985（昭和60）年１月30日100刷改版,https://www.aozora.gr.jp/cards/000035/files/301_14912.html,75901.0,novel,1952.0
6,2093,ドグラ・マグラ,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000096/card2093.html,96,著者,ちくま文庫、筑摩書房,1992（平成4）年4月22日,https://www.aozora.gr.jp/cards/000096/files/2093_28841.html,462449.0,novel,1992.0
7,127,羅生門,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000879/card127.html,879,著者,ちくま文庫、筑摩書房,1986（昭和61）年9月24日,https://www.aozora.gr.jp/cards/000879/files/127_15260.html,6408.0,short,1986.0
8,752,坊っちゃん,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000148/card752.html,148,著者,筑摩書房,1992（平成4）年1月20日,https://www.aozora.gr.jp/cards/000148/files/752_14964.html,103945.0,novel,1992.0
9,456,銀河鉄道の夜,NDC K913,新字新仮名,https://www.aozora.gr.jp/cards/000081/card456.html,81,著者,新潮文庫、新潮社,1989（平成元）年6月15日,https://www.aozora.gr.jp/cards/000081/files/456_15050.html,42084.0,novel,1989.0
10,92,蜘蛛の糸,NDC K913,新字新仮名,https://www.aozora.gr.jp/cards/000879/card92.html,879,著者,ちくま文庫、筑摩書房,1986（昭和61）年10月28日,https://www.aozora.gr.jp/cards/000879/files/92_14545.html,3216.0,shortshort,1986.0
11,799,夢十夜,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000148/card799.html,148,著者,ちくま文庫、筑摩書房,1988（昭和63）年7月26日,https://www.aozora.gr.jp/cards/000148/files/799_14972.html,19596.0,novelette,1988.0
12,776,草枕,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000148/card776.html,148,著者,ちくま文庫、筑摩書房,1987（昭和62）年12月1日,https://www.aozora.gr.jp/cards/000148/files/776_14941.html,106122.0,novel,1987.0
13,43754,注文の多い料理店,NDC K913,新字新仮名,https://www.aozora.gr.jp/cards/000081/card43754.html,81,著者,新潮文庫、新潮社,1990（平成2）年5月25日,https://www.aozora.gr.jp/cards/000081/files/43754_17659.html,6125.0,short,1990.0
14,46605,やまなし,NDC K913,新字新仮名,https://www.aozora.gr.jp/cards/000081/card46605.html,81,著者,新潮文庫、新潮社,1989（平成元）年2月25日,https://www.aozora.gr.jp/cards/000081/files/46605_31178.html,2979.0,shortshort,1989.0
15,975,方丈記,NDC 914,旧字旧仮名,https://www.aozora.gr.jp/cards/000196/card975.html,196,著者,明文社,1906（明治39）年1月30日,https://www.aozora.gr.jp/cards/000196/files/975_15935.html,9405.0,short,1906.0
16,424,檸檬,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000074/card424.html,74,著者,旺文社文庫、旺文社,1972（昭和47）年12月10日,https://www.aozora.gr.jp/cards/000074/files/424_19826.html,5459.0,short,1972.0
17,47061,学問のすすめ,NDC 370,新字新仮名,https://www.aozora.gr.jp/cards/000296/card47061.html,296,著者,中公バックス、中央公論社,1984（昭和59）年7月20日,https://www.aozora.gr.jp/cards/000296/files/47061_29420.html,92633.0,novel,1984.0
18,1465,蟹工船,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000156/card1465.html,156,著者,新潮文庫、新潮社,1953（昭和28）年6月28日、1968（昭和43）年5月30日32刷改版,https://www.aozora.gr.jp/cards/000156/files/1465_16805.html,66408.0,novel,1953.0
19,228,セメント樽の中の手紙,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000031/card228.html,31,著者,学芸書林,1968（昭和43）年9月10日,https://www.aozora.gr.jp/cards/000031/files/228_21664.html,2851.0,shortshort,1968.0
20,1058,『春と修羅』,NDC 911,新字旧仮名,https://www.aozora.gr.jp/cards/000081/card1058.html,81,著者,ちくま文庫、筑摩書房,1986（昭和61）年2月26日,https://www.aozora.gr.jp/cards/000081/files/1058_15403.html,51693.0,novel,1986.0
21,42,鼻,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000879/card42.html,879,著者,ちくま文庫、筑摩書房,1986（昭和61）年9月24日,https://www.aozora.gr.jp/cards/000879/files/42_15228.html,6595.0,short,1986.0
22,2078,舞姫,NDC 913,新字旧仮名,https://www.aozora.gr.jp/cards/000129/card2078.html,129,著者,筑摩書房,1969（昭和44）年8月25日,https://www.aozora.gr.jp/cards/000129/files/2078_15963.html,18342.0,novelette,1969.0
23,637,手袋を買いに,NDC K913,新字新仮名,https://www.aozora.gr.jp/cards/000121/card637.html,121,著者,岩波文庫、岩波書店,1996（平成8）年7月16日,https://www.aozora.gr.jp/cards/000121/files/637_13341.html,3869.0,shortshort,1996.0
24,43837,ある自殺者の手記,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card43837.html,1162,翻訳者,改造文庫、改造社出版,1937（昭和12）年5月20日,https://www.aozora.gr.jp/cards/000903/files/43837_23037.html,6105.0,short,1937.0
25,47074,親ごころ,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card47074.html,1162,翻訳者,改造文庫、改造社出版,1937（昭和12）年10月15日,https://www.aozora.gr.jp/cards/000903/files/47074_40109.html,5660.0,short,1937.0
26,46405,寡婦,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card46405.html,1162,翻訳者,改造文庫、改造社出版,1937（昭和12）年5月20日,https://www.aozora.gr.jp/cards/000903/files/46405_26862.html,6516.0,short,1937.0
27,43651,狂女,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card43651.html,1162,翻訳者,改造文庫、改造社出版,1937（昭和12）年10月15日,https://www.aozora.gr.jp/cards/000903/files/43651_17887.html,4306.0,short,1937.0
28,47076,狂人日記,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card47076.html,1162,翻訳者,暁書房,1949（昭和24）年6月1日,https://www.aozora.gr.jp/cards/000903/files/47076_40110.html,6782.0,short,1949.0
29,43652,墓,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card43652.html,1162,翻訳者,改造文庫、改造社出版,1937（昭和12）年10月15日,https://www.aozora.gr.jp/cards/000903/files/43652_17886.html,5614.0,short,1937.0
30,43866,初雪,NDC 953,新字新仮名,https://www.aozora.gr.jp/cards/000903/card43866.html,1162,翻訳者,改造文庫、改造社出版,1937（昭和12）年10月15日,https://www.aozora.gr.jp/cards/000903/files/43866_18752.html,10850.0,short,1937.0
31,46669,智恵子抄,NDC 911,新字旧仮名,https://www.aozora.gr.jp/cards/001168/card46669.html,1168,著者,新潮文庫、新潮社,1956（昭和31）年7月15日、1967（昭和42）年12月15日43刷改版,https://www.aozora.gr.jp/cards/001168/files/46669_25695.html,34853.0,novel,1956.0
32,691,高瀬舟,NDC 913,旧字旧仮名,https://www.aozora.gr.jp/cards/000129/card691.html,129,著者,講談社,1962（昭和37）年1月19日,https://www.aozora.gr.jp/cards/000129/files/691_15352.html,8644.0,short,1962.0
33,427,桜の樹の下には,NDC 913,新字新仮名,https://www.aozora.gr.jp/cards/000074/card427.html,74,著者,旺文社文庫、旺文社,1972（昭和47）年12月10日,https://www.aozora.gr.jp/cards/000074/files/427_19793.html,1898.0,flash,1972.0
34,628,ごん狐,NDC K913,新字新仮名,https://www.aozora.gr.jp/cards/000121/card628.html,121,著者,岩波文庫、岩波書店,1996（平成8）年7月16日,https://www.aozora.gr.jp/cards/000121/files/628_14895.html,5292.0,short,1996.0
