index,birthDate,birthPlace,deathDate,gender
5,+1892-03-01T00:00:00Z,Tokyo,+1927-07-24T00:00:00Z,male
8,+1835-01-10T00:00:00Z,Dōjima,+1901-02-03T00:00:00Z,male
11,+1862-02-17T00:00:00Z,Tsuwano,+1922-07-08T00:00:00Z,male
13
22,+1812-02-07T00:00:00Z,Landport,+1870-06-09T00:00:00Z,male
23,,,,unknown
24,+1875-07-31T00:00:00Z,Fukusaki,+1962-08-08T00:00:00Z,male
25,+1883-07-03T00:00:00Z,Prague,+1924-06-03T00:00:00Z,male
28,+1786-02-24T00:00:00Z,Hanau,+1859-12-16T00:00:00Z,male
29,+1785-01-04T00:00:00Z,Hanau,+1863-09-20T00:00:00Z,male
30,+1881-09-25T00:00:00Z,Shaoxing,+1936-10-19T00:00:00Z,male
32,+1805-04-02T00:00:00Z,Odense,+1875-08-04T00:00:00Z,male
33,+1809-01-19T00:00:00Z,Boston,+1849-10-07T00:00:00Z,male
34,+1667-11-30T00:00:00Z,Dublin,+1745-10-19T00:00:00Z,male
37,+1859-05-22T00:00:00Z,Edinburgh,+1930-07-07T00:00:00Z,male
39,+1850-11-13T00:00:00Z,Edinburgh,+1894-12-03T00:00:00Z,male
43,+1821-11-11T00:00:00Z,Mariinsky Hospital for the Poor,+1881-01-28T00:00:00Z,male
45,+1836-01-03T00:00:00Z,Tosa Province,+1867-12-10T00:00:00Z,male
46,somevalue,,+0723-08-15T00:00:00Z,male
47,+0700-01-01T00:00:00Z,,+0800-01-01T00:00:00Z,male
49,+0973-00-00T00:00:00Z,Heian-kyō,+1014-00-00T00:00:00Z,female
59,+1828-08-28T00:00:00Z,Yasnaya Polyana,+1910-11-07T00:00:00Z,male
62,+1832-11-29T00:00:00Z,Germantown,+1888-03-06T00:00:00Z,female
64,+1850-06-27T00:00:00Z,Lefkada,+1904-09-26T00:00:00Z,male
65,+1863-12-14T00:00:00Z,Yokohama,+1913-09-02T00:00:00Z,male
68,+1265-05-30T00:00:00Z,Florence,+1321-09-13T00:00:00Z,male
70,+1884-10-03T00:00:00Z,,+1955-04-20T00:00:00Z,male
72,,,,unknown
73,+1874-10-30T00:00:00Z,Tokyo,+1916-07-09T00:00:00Z,male
74,+1797-08-30T00:00:00Z,Somers Town,+1851-02-01T00:00:00Z,female
78,+1864-11-11T00:00:00Z,Rouen,+1941-11-06T00:00:00Z,male
79,+1802-02-26T00:00:00Z,Besançon,+1885-05-22T00:00:00Z,male
80
82,+1564-04-00T00:00:00Z,Stratford-upon-Avon,+1616-04-23T00:00:00Z,male
83,,,,unknown
86,+1809-08-06T00:00:00Z,Somersby,+1892-10-06T00:00:00Z,male
87,+1846-10-21T00:00:00Z,Oneglia,+1908-03-11T00:00:00Z,male
91,+1880-00-00T00:00:00Z,,+1949-00-00T00:00:00Z,male
93,+1048-05-18T00:00:00Z,Nishapur,+1131-12-04T00:00:00Z,male
94,+1849-11-24T00:00:00Z,Manchester,+1924-10-29T00:00:00Z,female
99,+1818-10-28T00:00:00Z,Oryol,+1883-09-03T00:00:00Z,male
102,+1854-10-20T00:00:00Z,Charleville,+1891-11-10T00:00:00Z,male
104,+1628-01-12T00:00:00Z,Paris,+1703-05-16T00:00:00Z,male
112,+1839-01-01T00:00:00Z,Bury St Edmunds,+1908-01-25T00:00:00Z,female
120,+1828-03-20T00:00:00Z,Stockmanngården,+1906-05-23T00:00:00Z,male
124,+1596-03-31T00:00:00Z,Descartes,+1650-02-11T00:00:00Z,male
125,+1749-08-28T00:00:00Z,Frankfurt,+1832-03-22T00:00:00Z,male
129,+1889-00-00T00:00:00Z,,+1933-00-00T00:00:00Z,male
131
135,+1783-04-03T00:00:00Z,New York City,+1859-11-28T00:00:00Z,male
137,+1850-08-05T00:00:00Z,Dieppe,+1893-07-06T00:00:00Z,male
138,+1859-02-19T00:00:00Z,Wik Castle,+1927-10-02T00:00:00Z,male
139
141,+1860-01-17T00:00:00Z,Taganrog,+1904-07-02T00:00:00Z,male
142,+1867-12-30T00:00:00Z,,+1952-02-14T00:00:00Z,female
145,+1868-10-25T00:00:00Z,Minamata,+1927-09-18T00:00:00Z,male
148,+1882-05-29T00:00:00Z,Isohara,+1945-01-27T00:00:00Z,male
150,+1866-01-29T00:00:00Z,Clamecy,+1944-12-30T00:00:00Z,male
151,+1743-04-13T00:00:00Z,Shadwell,+1826-07-04T00:00:00Z,male
152,+1866-09-21T00:00:00Z,Bromley,+1946-08-13T00:00:00Z,male
155,+1865-06-13T00:00:00Z,Sandymount,+1939-01-28T00:00:00Z,male
156,,,,unknown
157,+1809-03-19T00:00:00Z,Velyki Sorochyntsi,+1852-02-21T00:00:00Z,male
158,,,,unknown
161
163
165,,,,unknown
167,+1897-12-26T00:00:00Z,Tokushima,+1949-05-17T00:00:00Z,male
168,+1883-08-27T00:00:00Z,,+1959-10-20T00:00:00Z,male
172
175,+1823-12-21T00:00:00Z,Saint-Léons,+1915-10-11T00:00:00Z,male
177
179,+1839-04-01T00:00:00Z,Edo,+1900-08-11T00:00:00Z,male
180,+0233-01-01T00:00:00Z,Baxi Jun,+0297-01-01T00:00:00Z,male
184,+1873-11-04T00:00:00Z,Kanazawa,+1939-09-07T00:00:00Z,male
185,+1870-06-06T00:00:00Z,Kōjimachi-ku,+1933-09-05T00:00:00Z,male
192,+1869-10-02T00:00:00Z,Porbandar,+1948-01-30T00:00:00Z,male
195,+1887-11-03T00:00:00Z,,+1934-04-18T00:00:00Z,male
198,+1830-05-20T00:00:00Z,La Bouille,+1907-07-18T00:00:00Z,male
202
203,+1903-08-03T00:00:00Z,Kōjimachi-ku,+1961-01-16T00:00:00Z,male
207,+1872-01-22T00:00:00Z,Tatebayashi,+1930-05-13T00:00:00Z,male
209,+1799-05-26T00:00:00Z,Moscow,+1837-01-29T00:00:00Z,male
211,,,,unknown
214
220,+1892-03-12T00:00:00Z,,+1930-05-19T00:00:00Z,male
222,+1868-01-01T00:00:00Z,,+1932-01-01T00:00:00Z,female
224,+1864-02-22T00:00:00Z,Châlons-du-Maine,+1910-05-22T00:00:00Z,male
226,+1835-03-12T00:00:00Z,Nova Scotia,+1909-07-11T00:00:00Z,male
228
231,+1871-10-30T00:00:00Z,Sète,+1945-07-20T00:00:00Z,male
238,+1852-03-08T00:00:00Z,Shitaya,+1934-10-10T00:00:00Z,male
239
241,+1833-11-28T00:00:00Z,,+1904-10-17T00:00:00Z,male
244,+1892-03-04T00:00:00Z,Tsuyama,+1962-04-19T00:00:00Z,male
247
248
249,+1872-12-25T00:00:00Z,Kanagawa Prefecture,+1944-02-08T00:00:00Z,male
250,+1862-04-11T00:00:00Z,Marylebone,+1943-09-28T00:00:00Z,male
253,+1881-01-01T00:00:00Z,,+1949-01-01T00:00:00Z,male
254,+1901-09-24T00:00:00Z,,+1956-03-04T00:00:00Z,male
255
257,+1887-10-04T00:00:00Z,,+1943-04-08T00:00:00Z,male
259,+1888-06-18T00:00:00Z,,+1956-07-04T00:00:00Z,male
260,+1887-02-11T00:00:00Z,Osaka,+1953-09-03T00:00:00Z,male
262,+1804-07-04T00:00:00Z,Salem,+1864-05-19T00:00:00Z,male
269,,,,unknown
271,+1847-12-08T00:00:00Z,Kochi,+1901-12-13T00:00:00Z,male
273,+1862-02-17T00:00:00Z,Tsuwano,+1922-07-08T00:00:00Z,male
276,+1812-05-07T00:00:00Z,London,+1889-12-12T00:00:00Z,male
278,+1896-04-24T00:00:00Z,Kōjimachi-ku,+1935-10-29T00:00:00Z,male
279
280,+1874-12-15T00:00:00Z,,+1947-09-02T00:00:00Z,male
281,+1893-09-04T00:00:00Z,,+1955-01-31T00:00:00Z,male
282,+1864-01-26T00:00:00Z,,+1927-07-30T00:00:00Z,male
286,+1880-03-01T00:00:00Z,London,+1932-01-21T00:00:00Z,male
288,+1898-01-01T00:00:00Z,,+1961-01-01T00:00:00Z,male
289,+1873-02-26T00:00:00Z,Okazaki,+1935-03-26T00:00:00Z,male
290
293,+1894-10-10T00:00:00Z,,+1959-07-09T00:00:00Z,male
294,+1903-03-15T00:00:00Z,,+1946-07-14T00:00:00Z,male
296,+1884-08-07T00:00:00Z,,+1956-11-26T00:00:00Z,female
