作品ID,作品名,人物ID,XHTML/HTMLファイルURL
59898,ウェストミンスター寺院,1257,https://www.aozora.gr.jp/cards/001257/files/59898_70731.html
56078,駅伝馬車,1257,https://www.aozora.gr.jp/cards/001257/files/56078_51422.html
60224,駅馬車,1257,https://www.aozora.gr.jp/cards/001257/files/60224_73212.html
60225,寡婦とその子,1257,https://www.aozora.gr.jp/cards/001257/files/60225_74217.html
60231,クリスマス,1257,https://www.aozora.gr.jp/cards/001257/files/60231_74625.html
56033,クリスマス・イーヴ,1257,https://www.aozora.gr.jp/cards/001257/files/56033_50983.html
60232,クリスマス・イーヴ,1257,https://www.aozora.gr.jp/cards/001257/files/60232_74624.html
60226,傷心,1257,https://www.aozora.gr.jp/cards/001257/files/60226_74794.html
60233,ジョン・ブル,1257,https://www.aozora.gr.jp/cards/001257/files/60233_74434.html
60357,新浦島,1257,https://www.aozora.gr.jp/cards/001257/files/60357_75896.html
46658,スリーピー・ホローの伝説,1257,https://www.aozora.gr.jp/cards/001257/files/46658_44767.html
60227,妻,1257,https://www.aozora.gr.jp/cards/001257/files/60227_75292.html
60228,船旅,1257,https://www.aozora.gr.jp/cards/001257/files/60228_75291.html
60229,幽霊花婿,1257,https://www.aozora.gr.jp/cards/001257/files/60229_73012.html
53680,リップ・ヴァン・ウィンクル,1257,https://www.aozora.gr.jp/cards/001257/files/53680_69591.html
60230,わたくし自身について,1257,https://www.aozora.gr.jp/cards/001257/files/60230_73013.html
54333,食品の混ぜ物処理および調理の毒物（1820）,1657,https://www.aozora.gr.jp/cards/001657/files/54333_67472.html
46340,ファラデーの伝,1234,https://www.aozora.gr.jp/cards/001234/files/46340_24939.html
46511,一片の石,1245,https://www.aozora.gr.jp/cards/001245/files/46511_25607.html
57975,音楽に就いて,1245,https://www.aozora.gr.jp/cards/001245/files/57975_63084.html
57976,学規,1245,https://www.aozora.gr.jp/cards/001245/files/57976_61955.html
46512,菊の根分をしながら,1245,https://www.aozora.gr.jp/cards/001245/files/46512_25608.html
46513,支那の明器,1245,https://www.aozora.gr.jp/cards/001245/files/46513_25609.html
57977,趣味の向上,1245,https://www.aozora.gr.jp/cards/001245/files/57977_63085.html
58663,趣味の修養,1245,https://www.aozora.gr.jp/cards/001245/files/58663_66335.html
57978,少年少女におくる言葉,1245,https://www.aozora.gr.jp/cards/001245/files/57978_61952.html
58664,綜合大学の図書,1245,https://www.aozora.gr.jp/cards/001245/files/58664_68740.html
58665,綜合大学を迎へて,1245,https://www.aozora.gr.jp/cards/001245/files/58665_69580.html
58666,大学とその総長,1245,https://www.aozora.gr.jp/cards/001245/files/58666_69579.html
46514,拓本の話,1245,https://www.aozora.gr.jp/cards/001245/files/46514_25610.html
50328,相対性理論,1428,https://www.aozora.gr.jp/cards/001428/files/50328_64360.html
56014,木曽道中記,374,https://www.aozora.gr.jp/cards/000374/files/56014_68264.html
47032,隅田の春,374,https://www.aozora.gr.jp/cards/000374/files/47032_31783.html
45754,良夜,374,https://www.aozora.gr.jp/cards/000374/files/45754_23935.html
900,野性のセロリ,330,http://www.longtail.co.jp/eime/
59877,九年母,2091,https://www.aozora.gr.jp/cards/002091/files/59877_69720.html
56572,青空文庫の提案,1790,https://www.aozora.gr.jp/cards/001790/files/56572_51810.html
52214,百万人のそして唯一人の文学,1542,https://www.aozora.gr.jp/cards/001542/files/52214_46221.html
47604,夢の如く出現した彼,1314,https://www.aozora.gr.jp/cards/001314/files/47604_33427.html
53182,三人の百姓,1584,https://www.aozora.gr.jp/cards/001584/files/53182_49659.html
43837,ある自殺者の手記,1162,https://www.aozora.gr.jp/cards/000903/files/43837_23037.html
47074,親ごころ,1162,https://www.aozora.gr.jp/cards/000903/files/47074_40109.html
46405,寡婦,1162,https://www.aozora.gr.jp/cards/000903/files/46405_26862.html
43651,狂女,1162,https://www.aozora.gr.jp/cards/000903/files/43651_17887.html
47076,狂人日記,1162,https://www.aozora.gr.jp/cards/000903/files/47076_40110.html
43652,墓,1162,https://www.aozora.gr.jp/cards/000903/files/43652_17886.html
43866,初雪,1162,https://www.aozora.gr.jp/cards/000903/files/43866_18752.html
48283,南洲手抄言志録,1331,https://www.aozora.gr.jp/cards/001331/files/48283_32121.html
48284,南洲手抄言志録,1331,https://www.aozora.gr.jp/cards/001331/files/48284_32146.html
59016,現代作家は古典をどうみるか,1990,https://www.aozora.gr.jp/cards/001990/files/59016_64629.html
59393,「ぴ・い・ぷ・る」,1990,https://www.aozora.gr.jp/cards/001990/files/59393_75476.html
59502,美容院にのぞむこと,1990,https://www.aozora.gr.jp/cards/001990/files/59502_74820.html
59722,表紙絵について,1990,https://www.aozora.gr.jp/cards/001990/files/59722_73218.html
59022,民芸品の部屋で,1990,https://www.aozora.gr.jp/cards/001990/files/59022_64630.html
60159,四人,2132,https://www.aozora.gr.jp/cards/002132/files/60159_72109.html
4872,愛読書の印象,879,https://www.aozora.gr.jp/cards/000879/files/4872_21839.html
16,秋,879,https://www.aozora.gr.jp/cards/000879/files/16_14570.html
178,芥川竜之介歌集,879,https://www.aozora.gr.jp/cards/000879/files/178_14584.html
15,アグニの神,879,https://www.aozora.gr.jp/cards/000879/files/15_14583.html
43014,アグニの神,879,https://www.aozora.gr.jp/cards/000879/files/43014_17430.html
3804,悪魔,879,https://www.aozora.gr.jp/cards/000879/files/3804_27277.html
21,浅草公園,879,https://www.aozora.gr.jp/cards/000879/files/21_15157.html
43361,兄貴のような心持,879,https://www.aozora.gr.jp/cards/000879/files/43361_17877.html
17,あの頃の自分の事,879,https://www.aozora.gr.jp/cards/000879/files/17_14601.html
14,あばばばば,879,https://www.aozora.gr.jp/cards/000879/files/14_14602.html
60574,Afterlife,879,https://www.aozora.gr.jp/cards/000879/files/60574_71364.html
1138,鴉片,879,https://www.aozora.gr.jp/cards/000879/files/1138_15285.html
19,或阿呆の一生,879,https://www.aozora.gr.jp/cards/000879/files/19_14618.html
73,或敵打の話,879,https://www.aozora.gr.jp/cards/000879/files/73_15158.html
20,或旧友へ送る手記,879,https://www.aozora.gr.jp/cards/000879/files/20_14619.html
3827,或社会主義者,879,https://www.aozora.gr.jp/cards/000879/files/3827_27278.html
122,或日の大石内蔵助,879,https://www.aozora.gr.jp/cards/000879/files/122_15159.html
129,或恋愛小説,879,https://www.aozora.gr.jp/cards/000879/files/129_15155.html
18,闇中問答,879,https://www.aozora.gr.jp/cards/000879/files/18_14822.html
3767,案頭の書,879,https://www.aozora.gr.jp/cards/000879/files/3767_27279.html
43362,飯田蛇笏,879,https://www.aozora.gr.jp/cards/000879/files/43362_26111.html
16034,遺書,879,https://www.aozora.gr.jp/cards/000879/files/16034_33783.html
3750,イズムと云ふ語の意味次第,879,https://www.aozora.gr.jp/cards/000879/files/3750_27280.html
3748,一番気乗のする時,879,https://www.aozora.gr.jp/cards/000879/files/3748_27281.html
57,一夕話,879,https://www.aozora.gr.jp/cards/000879/files/57_15160.html
3761,伊東から,879,https://www.aozora.gr.jp/cards/000879/files/3761_27282.html
58,糸女覚え書,879,https://www.aozora.gr.jp/cards/000879/files/58_14823.html
43363,犬養君に就いて,879,https://www.aozora.gr.jp/cards/000879/files/43363_26112.html
56,犬と笛,879,https://www.aozora.gr.jp/cards/000879/files/56_15161.html
55,芋粥,879,https://www.aozora.gr.jp/cards/000879/files/55_14824.html
4274,岩野泡鳴氏,879,https://www.aozora.gr.jp/cards/000879/files/4274_6766.html
177,魚河岸,879,https://www.aozora.gr.jp/cards/000879/files/177_15162.html
