index,gender,birthplace,
1104,male,Yamaguchi,
1105,male,Tokyo,
1106,male,Rome,
1107,male,Japan,
1108,male,North Korea,
1109,male,South Korea,
1110,male,Japan,
1111,male,Hiroshima,
1112,male,Japan,
1113,male,Yamagata,
1114,male,"Ibaraki, Japan",
1115,male,Japan,
1116,male,Osaka,
1117,male,Chiba,
1118,male,Wakayama,
1119,female,Hiroshima,
1120,male,Shimane,
1121,female,Tokyo,
1122,male,Osaka,
1123,female,Saitama,
1124,male,Tokyo,
1125,male,Japan,
1126,male,Japan,
1127,male,Hyogo,
1128,male,Italy,
1129,male,Iwate,``
1130,female,Osaka,
1131,female,Osaka ,
1132,male,Okayama,
1133,male,Nagano,
1134,female,Kyoto,
1135,male,Hiroshima,
1136,male,Edo,
1137,female,Chitose,
1138,male,Kyoto,
1139,male,Kyushu,
1140,male,Japan,
1141,male,Niigata,
1142,female,Hokkaido,
1143,male,Aichi,
1144,male,Nagasaki,
1145,male,Gunma,
1146,male,Hyogo,
1147,male,Japan,
1148,male,Tokyo,
1149,male,Japan,
1150,male,Tokyo,
1151,female,Shinjuku,
1152,male,Chiba,
1153,male,Japan,
1154,female,Japan,
1155,unknown,unknown,
1156,male,Tokyo,
1157,male,Japan,
1158,male,Japan,
1159,female,France,
1160,male,Wakayama,
1161,male,Kyoto,
1162,male,Ehime,
1163,male,Japan,
1164,male,Nagano,
1165,female,United Kingdom,
1166,male,Nagano,
1167,male,Osaka,
1168,female,Aichi,
1169,female,Japan,
1170,male,Okayama,
1171,male,Onga,
1172,male,Japan,
1173,male,Japan,
1174,male,Shizuoka,
1175,male,Denmark,
1176,male,Kyoto,
1177,male,Fukushima,
1178,male,Aichi,
1179,male,Japan,
1180,male,Japan,
1181,male,Japan,
1182,male,Japan,
1183,male,Japan,
1184,male,Japan,
80,male,Aichi,
131,male,unknown,
139,male,Tokyo,
161,male,Tokyo,
163,female,Japan,
172,male,Tokyo,
177,male,Ibaraki,
202,male,unknown,
214,male,Tokyo,
239,male,unknown,
247,male,unknown,
248,male,Russia,
255,unknown,unknown,
279,unknown,unknown,
290,unknown,unknown,
300,male,Japan,
318,male,Austria,
326,male,Russia,
334,male,Tokyo,
348,unknown,unknown,
349,male,Japan,
366,female,Germany,
385,male,Japan,
405,unknown,unknown,
416,male,Tokyo,
417,male,Tokyo,
418,male,Japan,
423,male,unknown,
425,unknown,unknown,
428,male,unknown,
432,male,Spain,
434,unknown,unknown,
440,male,Japan,
445,male,Okinawa,
446,male,Tochigi?,
467,male,Tokyo,
486,unknown,unknown,
487,male,Ishikawa,
491,unknown,Japan,
492,unknown,unknown,
493,unknown,unknown,
498,unknown,unknown,
500,male,Tokushima,
514,female,Japan,
522,male,Tokyo,
523,female,Japan,
543,male,Kochi,
547,male,Japan,
549,unknown,unknown,
557,male,Japan,
569,male,Japan,
572,N/A,N/A,
573,male,Japan,
579,male,Japan,
582,male,Japan,
588,male,Japan,
593,male,France,
603,male,Japan,
607,male,Gifu,
609,male,Japan,
611,unknown,unknown,
616,male,Russia,
619,male,Japan,
620,N/A,N/A,
621,male,Japan,
622,unknown,unknown,
624,male,Yamagata,
625,unknown,unknown,
629,N/A,N/A,
631,N/A,N/A,
632,unknown,unknown,
634,male,Okayama,
640,female,Greece,
649,male,Tokyo,
664,male,Germany,
671,unknown,Japan,
675,male,Japan,
677,unknown,unknown,
678,male,Okayama,
684,unknown,unknown,
702,male,Kumamoto,
705,male,Japan,
713,male,Japan,
714,male,Japan,
717,male,Russia,
721,unknown,unknown,
723,male,Japan,
729,male,Japan,
733,male,Russia,
731,male,Japan,
733,female,France,
734,unknown,unknown,
740,male,Japan,
741,unknown,unknown,
750,male,Chiba,
752,male,unknown,
755,unknown,unknown,
759,male,Japan,
761,male,Japan,
762,male,Japan,
763,female,Japan,
768,unknown,unknown,
773,N/A,N/A,
774,unknown,unknown,
777,male,Japan,
780,male,Japan,
783,male,Japan,
791,unknown,unknown,
792,male,Japan,
797,male,Saitama,
803,female,Japan,
808,male,Japan,
816,male,Japan,
823,N/A,N/A,
825,female,Japan,
827,male,Germany,
828,male,Japan,
830,male,Germany,
834,male,Germany,
836,female,Kagawa,
843,male,Fukuoka,
844,male,Fukuoka,
845,male,Japan,
848,male,Germany,
851,male,Japan,
881,male,Fukuoka,
884,male,Japan,
890,male,Tokyo,
895,male,France,
896,male,Japan,
897,male,Japan,
900,male,Japan,
906,unknown,unknown,
907,unknown,unknown,
913,unknown,unknown,
919,unknown,unknown,
924,unknown,unknown,
932,male,Japan,
933,male,Japan,
946,male,Japan,
951,male,England,
964,female,France,
968,unknown,unknown,
969,unknown,unknown,
972,unknown,unknown,
974,unknown,unknown,
983,female,Japan,
990,male,Aichi,
991,male,Osaka,
997,male,Japan,
998,female,unknown,
1003,female,England,
1004,unknown,unknown,
1005,unknown,Hokkaido,
1009,female,Netherlands,
1016,male,Shizuoka,
1025,female,Japan,
1028,male,Kawasaki,
1031,unknown,Hokkaido,
1032,female,Japan,
1035,unknown,unknown,
1037,male,Kanagawa,
1039,male,Hyogo,
1043,unknown,unknown,
1044,N/A,N/A,
1046,unknown,unknown,
1053,unknown,unknown,
1054,female,unknown,
1056,male,Gunma,
1059,male,Japan,
1065,male,Tokyo,
1069,unknown,Kyushu,
1078,male,USA,
1080,male,Japan,
1081,male,England,
1095,unknown,Japan,
