year,WPI
1887,8.85
1888,9.24
1889,9.66
1890,10.12
1891,9.4
1892,9.92
1893,10.3
1894,10.92
1895,11.64
1896,12.56
1897,13.88
1898,14.7
1899,14.76
1900,15.79
1901,15.0
1902,15.07
1903,16.04
1904,16.86
1905,18.1
1906,18.63
1907,20.11
1908,19.37
1909,18.47
1910,18.71
1911,19.39
1912,20.54
1913,20.58
1914,19.65
1915,19.87
1916,24.04
1917,30.25
1918,39.63
1919,48.55
1920,53.38
1921,41.23
1922,40.28
1923,40.98
1924,42.49
1925,41.51
1926,36.81
1927,34.94
1928,35.16
1929,34.19
1930,28.15
1931,23.8
1932,26.39
1933,30.23
1934,30.82
1935,31.62
1936,32.95
1937,40.01
1938,42.21
1939,46.61
1940,52.27
1941,55.45
1942,59.62
1943,63.21
1944,70.43
1945,100.0
1946,483.35
1947,1429.29
1948,3792.67
1949,6191.63
1950,7318.45
1951,10156.28
1952,10354.96
1953,10426.13
1954,10354.96
1955,10168.14
1956,10612.95
1957,10894.28
1958,10196.19
1959,10298.87
1960,10493.89
1961,10609.51
1962,10440.67
1963,10598.5
1964,10605.84
1965,10721.46
1966,11015.1
1967,11273.87
1968,11374.8
1969,11596.87
1970,12000.62
1971,11899.68
1972,12090.55
1973,13986.35
1974,17838.51
1975,18339.53
1976,19343.41
1977,19991.25
1978,19892.14
1979,20883.17
1980,24006.75
1981,24333.42
1982,24447.2
1983,24289.37
1984,24311.4
1985,24124.2
1986,22995.53
1987,22272.45
1988,22143.98
1989,22571.59
1990,22914.78
1991,23138.68
1992,22940.47
1993,22584.44
1994,22204.54
1995,22019.18
1996,21659.48
1997,21808.13
1998,21466.78
1999,21152.95
2000,21171.3
2001,20980.44
2002,20775.56
