,id,author,birthDate,deathDate,gender,birthPlace,last,first
0,148,夏目漱石,1867-02-09,1916-12-09,male,喜久井町,Natsume,Soseki
1,81,宮沢賢治,1896-08-27,1933-09-21,male,花巻川口町,Miyazawa,Kenji
2,35,太宰治,1909-06-19,1948-06-13,male,金木町,Dazai,Osamu
3,119,中島敦,1909-05-05,1942-12-04,male,四谷区,Nakajima,Atsushi
4,96,夢野久作,1889-01-04,1936-03-11,male,福岡市,Yumeno,Kyusaku
5,879,芥川竜之介,1892-03-01,1927-07-24,male,Tokyo,Akutagawa,Ryunosuke
6,196,鴨長明,1153-00-00,1216-00-00,male,平安京,Kamo,Chomei
7,74,梶井基次郎,1901-02-17,1932-03-24,male,大阪市,Kajii,Motojiro
8,296,福沢諭吉,1835-01-10,1901-02-03,male,Dōjima,Fukuzawa,Yukichi
9,156,小林多喜二,1903-10-13,1933-02-20,male,大館市,Kobayashi,Takiji
10,31,葉山嘉樹,1894-03-12,1945-10-18,male,豊津町,Hayama,Yoshiki
11,129,森鴎外,1862-02-17,1922-07-09,male,Tsuwano,Mori,Ogai
12,121,新美南吉,1913-07-30,1943-03-22,male,半田市,Niimi,Nankichi
13,1162,秋田滋,1908-07-05,1943-10-15,male,,Akita,Shigeru
14,1168,高村光太郎,1883-03-13,1956-04-02,male,下谷区,Takamura,Kotaro
15,153,石川啄木,1886-02-20,1912-04-13,male,盛岡市,Ishikawa,Takuboku
16,155,紀貫之,870-00-00,1902-08-02,male,平安京,Kino,Tsurayuki
17,1095,坂口安吾,1906-10-20,1955-02-17,male,新潟市,Sakaguchi,Ango
18,231,伊丹万作,1900-01-02,1946-09-21,male,松山市,Itami,Mansaku
19,67,萩原朔太郎,1886-11-01,1942-05-11,male,北曲輪町,Hagiwara,Sakutaro
20,1030,堀辰雄,1904-12-28,1953-05-28,male,平河町,Hori,Tatsuo
21,26,中原中也,1907-04-29,1937-10-22,male,下宇野令村,Nakahara,Chuya
22,914,ディケンズチャールズ,1812-02-07,1870-06-09,male,Landport,Dickens,Charles
23,1128,文部省,,,unknown,,Monbusho,
24,1566,柳田国男,1875-07-31,1962-08-08,male,Fukusaki,Yanagita,Kunio
25,1235,カフカフランツ,1883-07-03,1924-06-03,male,Prague,Kafka,Franz
26,183,牧野信一,1896-11-12,1936-03-24,male,小田原町,Makino,Shin'ichi
27,64,樋口一葉,1872-05-02,1896-11-23,female,東京,Higuchi,Ichiyo
28,1092,グリムヴィルヘルム・カール,1786-02-24,1859-12-16,male,Hanau,Grimm,Wilhelm Carl
29,1091,グリムヤーコプ・ルートヴィッヒ・カール,1785-01-04,1863-09-20,male,Hanau,Grimm,Jacob Ludwig Carl
30,1124,魯迅,1881-09-25,1936-10-19,male,Shaoxing,Lu Xun,
31,125,小栗虫太郎,1901-03-14,1946-02-10,male,東京都,Oguri,Mushitaro
32,19,アンデルセンハンス・クリスチャン,1805-04-02,1875-08-04,male,Odense,Andersen,Hans Christian
33,94,ポーエドガー・アラン,1809-01-19,1849-10-07,male,Boston,Poe,Edgar Allan
34,912,スウィフトジョナサン,1667-11-30,1745-10-19,male,Dublin,Swift,Jonathan
35,158,島崎藤村,1872-03-25,1943-08-22,male,馬籠宿,Shimazaki,Toson
36,214,田山花袋,1872-01-22,1930-05-13,male,館林市,Tayama,Katai
37,9,ドイルアーサー・コナン,1859-05-22,1930-07-07,male,Edinburgh,Doyle,Arthur Conan
38,1779,江戸川乱歩,1894-10-21,1965-07-28,male,名張市,Edogawa,Ranpo
39,888,スティーブンソンロバート・ルイス,1850-11-13,1894-12-03,male,Edinburgh,Stevenson,Robert Louis
40,58,伊藤左千夫,1864-09-18,1913-07-30,male,上総国,Ito,Sachio
41,329,楠山正雄,1884-11-04,1950-11-26,male,東京都,Kusuyama,Masao
42,91,尾崎紅葉,1868-01-10,1903-10-30,male,芝,Ozaki,Koyo
43,363,ドストエフスキーフィヨードル・ミハイロヴィチ,1821-11-11,1881-02-09,male,Mariinsky Hospital for the Poor,Dostoevskii,Fedor Mikhailovich
44,25,有島武郎,1878-03-04,1923-06-09,male,東京,Arishima,Takeo
45,908,坂本竜馬,1836-01-03,1867-12-10,male,Tosa Province,Sakamoto,Ryoma
46,1518,太安万侶,,0723-08-15,male,,oono,yasumaro
47,1519,稗田阿礼,0700-01-01,0800-01-01,male,,hieda,are
48,42,寺田寅彦,1878-11-28,1935-12-31,male,麹町区,Terada,Torahiko
49,52,紫式部,0973-00-00,1014-00-00,female,Heian-kyō,Murasaki Shikibu,
50,50,泉鏡花,1873-11-04,1939-09-07,male,金沢市,Izumi,Kyoka
51,65,九鬼周造,1888-02-15,1941-05-06,male,東京,Kuki,Shuzo
52,107,鈴木三重吉,1882-09-29,1936-06-27,male,広島市,Suzuki,Miekichi
53,195,尾崎放哉,1885-01-20,1926-04-07,male,鳥取県,Ozaki,Hosai
54,38,国木田独歩,1871-08-30,1908-06-23,male,銚子市,Kunikida,Doppo
55,218,三木清,1897-01-05,1945-09-26,male,兵庫県,Miki,Kiyoshi
56,6,二葉亭四迷,1864-04-04,1909-05-10,male,合羽坂,Futabatei,Shimei
57,83,菊池寛,1888-12-26,1948-03-06,male,高松市,Kikuchi,Kan
58,230,石原莞爾,1889-01-18,1949-08-15,male,鶴岡市,Ishiwara,Kanji
59,361,トルストイレオ,1828-00-00,1910-00-00,male,Yasnaya Polyana,Tolstoi,Lev
60,1383,谷崎潤一郎,1886-07-24,1965-07-30,male,日本橋区,Tanizaki,Jun'ichiro
61,20,渡辺温,1902-08-26,1930-02-10,male,北海道,Watanabe,On
62,1090,オルコットルイーザ・メイ,1832-11-29,1888-03-06,female,Germantown,Alcott,Louisa May
63,1475,小川未明,1882-04-07,1961-05-11,male,新潟県,Ogawa,Mimei
64,258,小泉八雲,1850-06-27,1904-09-26,male,Lefkada,Koizumi,Yakumo
65,1347,岡倉覚三,1863-02-14,1913-09-02,male,Yokohama,Okakura,Kakuzo
66,238,岡倉天心,1863-02-14,1913-09-02,male,横浜市,Okakura,Tenshin
67,179,黒岩涙香,1862-11-20,1920-10-06,male,川北村,Kuroiwa,Ruiko
68,961,ダンテアリギエリ,1265-00-00,1321-00-00,male,Florence,Dante,Alighieri
69,1234,愛知敬一,1880-07-25,1923-06-23,male,東京,Aichi,Keiichi
70,1097,下村湖人,1884-10-03,1955-04-20,male,,Shimomura,Kojin
71,51,幸田露伴,1867-08-20,1947-07-30,male,東京,Koda,Rohan
72,924,永井隆,1908-02-03,1951-05-01,unknown,,Nagai,Takashi
73,235,上田敏,1874-10-30,1916-07-09,male,Tokyo,Ueda,Bin
74,1176,シェリーメアリー・ウォルストンクラフト,1797-08-30,1851-02-01,female,Somers Town,Shelley,Mary Wollstonecraft
75,168,横光利一,1898-03-17,1947-12-30,male,会津若松市,Yokomitsu,Riichi
76,160,海野十三,1897-12-26,1949-05-17,male,徳島市,Unno,Juza
77,280,徳冨蘆花,1868-12-08,1927-09-18,male,水俣市,Tokutomi,Roka
78,1121,ルブランモーリス,1864-11-11,1941-11-06,male,Rouen,Leblanc,Maurice
79,1094,ユゴーヴィクトル,1802-02-26,1885-05-22,male,Besançon,Hugo,Victor
80,269,高神覚昇,1894-00-00,1948-00-00,male,Aichi,Takagami,Kakusho
81,13,八木重吉,1898-02-09,1927-10-26,male,多摩地域,Yagi,Jukichi
82,264,シェークスピアウィリアム,1546-00-00,1616-00-00,male,Stratford-upon-Avon,Shakespeare,William
83,1529,作者不詳,,,unknown,,Sakushafusho,
84,575,佐藤紅緑,1874-07-06,1949-06-03,male,親方町,Sato,Koroku
85,933,折口信夫,1887-02-11,1953-09-03,male,大阪市,Orikuchi,Shinobu
86,140,テニソンアルフレッド,1809-08-06,1892-10-06,male,Somersby,Tennyson,Alfred
87,1048,アミーチスエドモンド・デ,1846-10-31,1908-03-11,male,Oneglia,Amicis,Edmondo De
88,40,織田作之助,1913-10-26,1947-01-10,male,大阪市,Oda,Sakunosuke
89,76,岡本かの子,1889-03-01,1939-02-18,female,赤坂,Okamoto,Kanoko
90,245,加藤文太郎,1905-03-11,1936-01-05,male,兵庫県,Kato,Buntaro
91,1120,須川邦彦,1880-00-00,1949-00-00,male,,Sugawa,Kunihiko
92,1562,吉川英治,1892-08-11,1962-09-07,male,横浜市,Yoshikawa,Eiji
93,288,ハイヤームオマル,1048-00-00,1131-00-00,male,Nishapur,Khayyam,Umar
94,1045,バーネットフランシス・ホジソン・エリザ,1849-11-24,1924-10-29,female,Manchester,Burnett,Frances Eliza Hodgson
95,182,西田幾多郎,1870-06-17,1945-06-07,male,かほく市,Nishida,Kitaro
96,291,林芙美子,1903-12-31,1951-06-28,female,下関市,Hayashi,Fumiko
97,305,正岡子規,1867-10-14,1902-09-19,male,松山市,Masaoka,Shiki
98,106,北原白秋,1885-01-25,1942-11-02,male,南関町,Kitahara,Hakushu
99,5,ツルゲーネフイワン,1818-11-09,1883-09-03,male,Oryol,Turgenev,Ivan
100,885,与謝野晶子,1878-12-07,1942-05-29,female,堺市,Yosano,Akiko
101,283,中里介山,1885-04-04,1944-04-28,male,羽村市,Nakazato,Kaizan
102,1296,ランボージャン・ニコラ・アルチュール,1854-10-20,1891-11-10,male,Charleville,Rimbaud,Jean Nicolas Arthur
103,1266,牧野富太郎,1862-05-22,1957-01-18,male,佐川町,Makino,Tomitaro
104,1134,ペローシャルル,1628-01-12,1703-05-16,male,Paris,Perrault,Charles
105,1059,斎藤茂吉,1882-5-14,1953-2-25,male,上山市,Saito,Mokichi
106,250,河上肇,1879-10-20,1946-01-30,male,山口県,Kawakami,Hajime
107,1053,峠三吉,1917-02-19,1953-03-10,male,大阪市,Toge,Sankichi
108,1404,河口慧海,1866-02-26,1945-02-24,male,堺市,Kwaguchi,Ekai
109,118,長塚節,1879-04-03,1915-02-08,male,茨城県,Nagatsuka,Takashi
110,1072,和田万吉,1865-10-07,1934-11-21,male,大垣市,Wada,Mankichi
111,1395,和辻哲郎,1889-03-01,1960-12-26,male,姫路市,Watsuji,Tetsuro
112,1044,ド・ラ・ラメーマリー・ルイーズ,1839-01-01,1908-01-25,female,Bury St Edmunds,de la Ramee,Marie Louise
113,126,田中英光,1913-01-10,1949-11-03,male,東京,Tanaka,Hidemitsu
114,14,村山槐多,1896-09-15,1919-02-20,male,額田郡,Murayama,Kaita
115,256,倉田百三,1891-02-23,1943-02-12,male,庄原市,Kurata,Hyakuzo
