year,max,jp,percentage,WPI
1887,7383.0,1848,25.02,8.85
1888,7179.0,1724,24.01,9.24
1889,7567.0,1755,23.19,9.66
1890,7106.0,1854,26.08,10.12
1891,7438.0,1750,23.52,9.4
1892,7324.0632,1842,25.15,9.92
1893,6834.2496,1832,26.81,10.3
1894,6851.0,2016,29.43,10.92
1895,7159.5064,2022,28.24,11.64
1896,7211.0,1904,26.41,12.56
1897,7406.3416,1905,25.71,13.88
1898,7500.0,2233,29.77,14.7
1899,7959.1496,2105,26.44,14.76
1900,8037.5712,2123,26.42,15.79
1901,8770.3632,2162,24.65,15.0
1902,8684.228,2013,23.18,15.07
1903,8941.348,2204,24.65,16.04
1904,8663.6584,2179,25.15,16.86
1905,9121.332,2111,23.15,18.1
1906,9980.1128,2329,23.34,18.63
1907,9950.544,2358,23.7,20.11
1908,8975.976073,2357,26.26,19.37
1909,9798.118166,2333,23.81,18.47
1910,9636.782722,2317,24.04,18.71
1911,9735.889276,2400,24.65,19.39
1912,9976.567053,2420,24.25,20.54
1913,10107.96941,2431,24.05,20.58
1914,9096.371976,2358,25.92,19.65
1915,9164.176774,2512,27.41,19.87
1916,10222.31985,2829,27.68,24.04
1917,9769.078001,2941,30.1,30.25
1918,10471.30578,2973,28.4,39.63
1919,10449.78027,3219,30.81,48.55
1920,10152.92711,2974,29.29,53.38
1921,9674.880488,3244,33.53,41.23
1922,10009.71528,3244,32.41,40.28
1923,11071.24298,3244,29.3,40.98
1924,11126.71298,3316,29.81,42.49
1925,11149.77203,3414,30.62,41.51
1926,11647.76778,3359,28.83,36.81
1927,11532.3979,3347,29.02,34.94
1928,11451.06896,3554,31.04,35.16
1929,11954.23535,3665,30.66,34.19
1930,10694.98208,3334,31.17,28.15
1931,10055.4852,3321,33.02,23.8
1932,9752.442965,3529,36.19,26.39
1933,10009.10856,3787,37.83,30.23
1934,9997.37645,3756,37.57,30.82
1935,9680.838643,3825,39.51,31.62
1936,10568.01235,3986,37.71,32.95
1937,11295.09895,4075,36.08,40.01
1938,10526.13357,4257,40.44,42.21
1939,11171.44811,4804,43.0,46.61
1940,12005.09516,4882,40.67,52.27
1941,13553.40166,4986,36.79,55.45
1942,14869.86115,4939,33.21,59.62
1943,16050.21742,4826,30.07,63.21
1944,16999.32717,4816,28.33,70.43
1945,16477.55177,3678,22.32,100.0
1946,14822.46647,2771,18.7,483.35
1947,14311.54719,2711,18.94,1429.29
1948,14734.23212,2857,19.39,3792.67
1949,14196.672,2867,20.19,6191.63
1950,48436.0,3062,6.32,7318.45
1951,48653.0,3389,6.97,10156.28
1952,47990.0,3724,7.76,10354.96
1953,49989.0,3944,7.89,10426.13
1954,52920.0,4116,7.78,10354.96
1955,51417.0,4417,8.59,10168.14
1956,52404.0,4699,8.97,10612.95
1957,50126.0,4999,9.97,10894.28
1958,50042.0,5243,10.48,10196.19
1959,52436.0,5665,10.8,10298.87
1960,52299.0,6354,12.15,10493.89
1961,48516.0,7055,14.54,10609.51
1962,46304.0,7614,16.44,10440.67
1963,44912.0,8176,18.2,10598.5
1964,42186.0,9035,21.42,10605.84
1965,41705.0,9459,22.68,10721.46
1966,50660.0,10370,20.47,11015.1
1967,55566.0,11400,20.52,11273.87
1968,58010.0,12725,21.94,11374.8
1969,56236.0,14145,25.15,11596.87
1970,51921.0,15484,29.82,12000.62
1971,59731.0,16004,26.79,11899.68
1972,62416.0,17110,27.41,12090.55
1973,68407.0,18226,26.64,13986.35
1974,57594.0,17765,30.85,17838.51
1975,54866.0,18082,32.96,18339.53
1976,55169.0,18600,33.71,19343.41
1977,45999.0,19230,41.81,19991.25
1978,47072.0,20060,42.62,19892.14
1979,45806.0,20982,45.81,20883.17
1980,45860.0,21404,46.67,24006.75
1981,42456.0,21924,51.64,24333.42
1982,36635.0,22440,61.25,24447.2
1983,32737.0,22805,69.66,24289.37
1984,32135.0,23548,73.28,24311.4
1985,33023.0,24437,74.0,24124.2
1986,33850.0,24992,73.83,22995.53
1987,34730.0,25904,74.59,22272.45
1988,35863.0,27393,76.38,22143.98
1989,36756.0,28601,77.81,22571.59
1990,36982.0,29949,80.98,22914.78
1991,39198.299,30837,78.67,23138.68
1992,39231.5935,30978,78.96,22940.47
1993,40179.49454,30921,76.96,22584.44
1994,40990.71283,31135,75.96,22204.54
1995,40838.5646,31887,78.08,22019.18
1996,43133.14347,32784,76.01,21659.48
1997,46556.47923,33038,70.96,21808.13
1998,48956.72933,32558,66.5,21466.78
1999,51129.18288,32395,63.36,21152.95
2000,54039.96073,33211,61.46,21171.3
2001,56578.37709,33246,58.76,20980.44
2002,58840.41421,33195,56.42,20775.56
