人物ID,姓名,姓,名,生年月日,没年月日
148,夏目漱石,夏目,漱石,1867-02-09,1916-12-09
81,宮沢賢治,宮沢,賢治,1896-08-27,1933-09-21
35,太宰治,太宰,治,1909-06-19,1948-06-13
119,中島敦,中島,敦,1909-05-05,1942-12-04
96,夢野久作,夢野,久作,1889-01-04,1936-03-11
879,芥川竜之介,芥川,竜之介,1892-03-01,1927-07-24
196,鴨長明,鴨,長明,1153,1216
74,梶井基次郎,梶井,基次郎,1901-02-17,1932-03-24
296,福沢諭吉,福沢,諭吉,1835-01-10,1901-02-03
156,小林多喜二,小林,多喜二,1903-10-13,1933-02-20
31,葉山嘉樹,葉山,嘉樹,1894-03-12,1945-10-18
129,森鴎外,森,鴎外,1862-02-17,1922-07-09
121,新美南吉,新美,南吉,1913-07-30,1943-03-22
1162,秋田滋,秋田,滋,1908-07-05,1943-10-15
1168,高村光太郎,高村,光太郎,1883-03-13,1956-04-02
153,石川啄木,石川,啄木,1886-02-20,1912-04-13
155,紀貫之,紀,貫之,870,1902-08-02
1095,坂口安吾,坂口,安吾,1906-10-20,1955-02-17
231,伊丹万作,伊丹,万作,1900-01-02,1946-09-21
67,萩原朔太郎,萩原,朔太郎,1886-11-01,1942-05-11
1030,堀辰雄,堀,辰雄,1904-12-28,1953-05-28
26,中原中也,中原,中也,1907-04-29,1937-10-22
914,ディケンズチャールズ,ディケンズ,チャールズ,1812-02-07,1870-06-09
1128,文部省,文部省,,,
1566,柳田国男,柳田,国男,1875-07-31,1962-08-08
1235,カフカフランツ,カフカ,フランツ,1883-07-03,1924-06-03
183,牧野信一,牧野,信一,1896-11-12,1936-03-24
64,樋口一葉,樋口,一葉,1872-05-02,1896-11-23
1092,グリムヴィルヘルム・カール,グリム,ヴィルヘルム・カール,1786-02-24,1859-12-16
1091,グリムヤーコプ・ルートヴィッヒ・カール,グリム,ヤーコプ・ルートヴィッヒ・カール,1785-01-04,1863-09-20
1124,魯迅,魯迅,,1881-09-25,1936-10-19
125,小栗虫太郎,小栗,虫太郎,1901-03-14,1946-02-10
19,アンデルセンハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,1805-04-02,1875-08-04
94,ポーエドガー・アラン,ポー,エドガー・アラン,1809-01-19,1849-10-07
912,スウィフトジョナサン,スウィフト,ジョナサン,1667-11-30,1745-10-19
158,島崎藤村,島崎,藤村,1872-03-25,1943-08-22
214,田山花袋,田山,花袋,1872-01-22,1930-05-13
9,ドイルアーサー・コナン,ドイル,アーサー・コナン,1859-05-22,1930-07-07
1779,江戸川乱歩,江戸川,乱歩,1894-10-21,1965-07-28
888,スティーブンソンロバート・ルイス,スティーブンソン,ロバート・ルイス,1850-11-13,1894-12-03
58,伊藤左千夫,伊藤,左千夫,1864-09-18,1913-07-30
329,楠山正雄,楠山,正雄,1884-11-04,1950-11-26
91,尾崎紅葉,尾崎,紅葉,1868-01-10,1903-10-30
363,ドストエフスキーフィヨードル・ミハイロヴィチ,ドストエフスキー,フィヨードル・ミハイロヴィチ,1821-11-11,1881-02-09
25,有島武郎,有島,武郎,1878-03-04,1923-06-09
908,坂本竜馬,坂本,竜馬,1836-01-03,1867-12-10
1518,太安万侶,太,安万侶,,0723-08-15
1519,稗田阿礼,稗田,阿礼,,
42,寺田寅彦,寺田,寅彦,1878-11-28,1935-12-31
52,紫式部,紫式部,,,
50,泉鏡花,泉,鏡花,1873-11-04,1939-09-07
65,九鬼周造,九鬼,周造,1888-02-15,1941-05-06
107,鈴木三重吉,鈴木,三重吉,1882-09-29,1936-06-27
195,尾崎放哉,尾崎,放哉,1885-01-20,1926-04-07
38,国木田独歩,国木田,独歩,1871-08-30,1908-06-23
218,三木清,三木,清,1897-01-05,1945-09-26
6,二葉亭四迷,二葉亭,四迷,1864-04-04,1909-05-10
83,菊池寛,菊池,寛,1888-12-26,1948-03-06
230,石原莞爾,石原,莞爾,1889-01-18,1949-08-15
361,トルストイレオ,トルストイ,レオ,1828,1910
1383,谷崎潤一郎,谷崎,潤一郎,1886-07-24,1965-07-30
20,渡辺温,渡辺,温,1902-08-26,1930-02-10
1090,オルコットルイーザ・メイ,オルコット,ルイーザ・メイ,1832-11-29,1888-03-06
1475,小川未明,小川,未明,1882-04-07,1961-05-11
258,小泉八雲,小泉,八雲,1850-06-27,1904-09-26
1347,岡倉覚三,岡倉,覚三,1863-02-14,1913-09-02
238,岡倉天心,岡倉,天心,1863-02-14,1913-09-02
179,黒岩涙香,黒岩,涙香,1862-11-20,1920-10-06
961,ダンテアリギエリ,ダンテ,アリギエリ,1265,1321
1234,愛知敬一,愛知,敬一,1880-07-25,1923-06-23
1097,下村湖人,下村,湖人,1884-10-03,1955-04-20
51,幸田露伴,幸田,露伴,1867-08-20,1947-07-30
924,永井隆,永井,隆,1908-02-03,1951-05-01
235,上田敏,上田,敏,1874-10-30,1916-07-09
1176,シェリーメアリー・ウォルストンクラフト,シェリー,メアリー・ウォルストンクラフト,1797-08-30,1851-02-01
168,横光利一,横光,利一,1898-03-17,1947-12-30
160,海野十三,海野,十三,1897-12-26,1949-05-17
280,徳冨蘆花,徳冨,蘆花,1868-12-08,1927-09-18
1121,ルブランモーリス,ルブラン,モーリス,1864-11-11,1941-11-06
1094,ユゴーヴィクトル,ユゴー,ヴィクトル,1802-02-26,1885-05-22
269,高神覚昇,高神,覚昇,1894,1948
13,八木重吉,八木,重吉,1898-02-09,1927-10-26
264,シェークスピアウィリアム,シェークスピア,ウィリアム,1546,1616
1529,作者不詳,作者不詳,,,
575,佐藤紅緑,佐藤,紅緑,1874-07-06,1949-06-03
933,折口信夫,折口,信夫,1887-02-11,1953-09-03
140,テニソンアルフレッド,テニソン,アルフレッド,1809-08-06,1892-10-06
1048,アミーチスエドモンド・デ,アミーチス,エドモンド・デ,1846-10-31,1908-03-11
40,織田作之助,織田,作之助,1913-10-26,1947-01-10
76,岡本かの子,岡本,かの子,1889-03-01,1939-02-18
245,加藤文太郎,加藤,文太郎,1905-03-11,1936-01-05
1120,須川邦彦,須川,邦彦,1880,1949
1562,吉川英治,吉川,英治,1892-08-11,1962-09-07
288,ハイヤームオマル,ハイヤーム,オマル,1048,1131
1045,バーネットフランシス・ホジソン・エリザ,バーネット,フランシス・ホジソン・エリザ,1849-11-24,1924-10-29
182,西田幾多郎,西田,幾多郎,1870-06-17,1945-06-07
291,林芙美子,林,芙美子,1903-12-31,1951-06-28
305,正岡子規,正岡,子規,1867-10-14,1902-09-19
106,北原白秋,北原,白秋,1885-01-25,1942-11-02
5,ツルゲーネフイワン,ツルゲーネフ,イワン,1818-11-09,1883-09-03
885,与謝野晶子,与謝野,晶子,1878-12-07,1942-05-29
283,中里介山,中里,介山,1885-04-04,1944-04-28
